"Indizes / Veränderungen","Nominal / Real","Branche / Warengruppe","Monat","Unbereinigt","Kalenderbereinigt","Saisonbereinigt","Trend"
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2003M05",89.8,87.0,83.0,83.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2003M06",80.7,82.8,83.2,83.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2003M07",84.8,84.1,84.2,83.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2003M08",80.6,80.9,83.8,84.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2003M09",79.2,79.5,84.6,84.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2003M10",84.6,83.0,84.3,84.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2003M11",81.8,82.1,82.3,84.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2003M12",103.5,104.7,86.2,84.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2004M01",81.5,80.1,85.6,84.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2004M02",76.0,74.9,83.3,84.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2004M03",83.0,83.9,84.1,84.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2004M04",89.3,86.9,85.0,84.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2004M05",87.3,88.9,84.9,84.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2004M06",84.8,83.9,84.4,84.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2004M07",86.0,83.9,83.7,84.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2004M08",81.0,81.2,84.0,84.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2004M09",79.9,79.1,84.3,84.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2004M10",83.2,82.7,84.1,84.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2004M11",83.7,83.9,84.3,84.0
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2004M12",104.2,101.5,83.5,83.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2005M01",77.8,78.4,83.8,84.0
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2005M02",74.6,74.9,83.4,84.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2005M03",85.5,84.4,84.5,84.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2005M04",88.3,86.8,85.0,84.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2005M05",86.8,88.5,84.5,85.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2005M06",86.8,85.4,86.0,85.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2005M07",85.7,85.2,84.8,85.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2005M08",83.3,82.9,85.7,85.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2005M09",80.4,79.2,84.5,85.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2005M10",83.0,83.7,85.1,84.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2005M11",84.6,84.1,84.6,84.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2005M12",107.1,102.1,84.0,84.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2006M01",79.2,79.2,84.7,84.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2006M02",75.6,75.9,84.5,84.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2006M03",85.6,85.0,85.0,85.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2006M04",88.2,87.5,85.7,85.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2006M05",90.9,90.0,86.0,86.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2006M06",88.2,87.5,88.0,86.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2006M07",88.8,89.5,88.9,86.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2006M08",85.1,84.2,87.0,86.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2006M09",82.0,80.1,85.4,86.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2006M10",82.1,83.8,85.1,85.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2006M11",86.2,85.4,86.0,85.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2006M12",105.5,104.2,85.8,86.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2007M01",81.8,81.2,86.9,86.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2007M02",76.9,77.3,86.0,87.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2007M03",90.1,88.3,88.1,87.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2007M04",89.2,90.5,88.8,88.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2007M05",92.3,92.0,88.1,88.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2007M06",89.9,87.3,87.7,88.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2007M07",88.8,90.7,89.9,89.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2007M08",88.3,87.0,89.8,89.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2007M09",81.9,82.2,87.6,89.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2007M10",87.8,87.7,89.1,89.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2007M11",91.4,90.0,90.8,90.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2007M12",108.6,109.6,90.3,90.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2008M01",85.0,84.3,90.3,90.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2008M02",85.9,82.5,91.7,91.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2008M03",91.9,92.2,91.7,92.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2008M04",94.3,94.3,92.8,93.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2008M05",101.9,99.2,95.1,94.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2008M06",92.4,93.6,93.9,94.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2008M07",97.5,96.8,95.9,95.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2008M08",92.4,92.7,95.7,95.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2008M09",90.4,90.7,96.6,95.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2008M10",95.2,93.4,94.8,95.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2008M11",93.1,93.5,94.4,95.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2008M12",115.6,116.9,96.4,95.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2009M01",90.3,88.7,95.1,95.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2009M02",85.4,85.9,95.3,95.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2009M03",92.4,95.4,94.6,95.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2009M04",97.7,95.6,94.3,95.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2009M05",101.4,100.5,96.5,95.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2009M06",93.6,94.5,94.9,95.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2009M07",98.5,96.6,95.8,95.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2009M08",91.9,93.6,96.7,96.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2009M09",90.5,90.0,95.9,97.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2009M10",99.8,97.3,98.7,97.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2009M11",93.1,94.8,95.8,97.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2009M12",118.5,119.9,98.9,97.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2010M01",90.1,90.9,97.4,97.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2010M02",87.0,87.5,97.0,97.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2010M03",99.8,97.5,96.3,96.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2010M04",96.8,97.7,96.5,96.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2010M05",98.8,100.6,96.8,96.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2010M06",97.1,96.1,96.4,96.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2010M07",100.8,98.3,97.4,97.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2010M08",93.7,94.0,97.3,97.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2010M09",92.3,91.4,97.2,97.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2010M10",96.4,95.9,97.3,97.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2010M11",95.8,96.2,97.2,97.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2010M12",120.5,117.4,96.9,97.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2011M01",88.0,88.7,95.0,97.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2011M02",87.7,88.2,97.6,97.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2011M03",97.2,97.6,96.1,96.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2011M04",101.9,98.5,97.5,96.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2011M05",99.8,98.5,94.9,96.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2011M06",94.5,96.1,96.3,95.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2011M07",96.6,96.1,95.4,95.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2011M08",91.1,90.6,93.9,95.0
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2011M09",90.9,89.5,95.2,94.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2011M10",93.0,93.7,95.0,94.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2011M11",93.1,92.6,93.6,94.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2011M12",117.6,112.1,92.5,94.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2012M01",88.3,88.3,94.4,95.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2012M02",90.0,86.9,96.1,95.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2012M03",101.0,99.0,97.2,96.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2012M04",93.2,94.4,93.7,96.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2012M05",100.7,100.5,96.9,96.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2012M06",99.7,96.9,97.0,96.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2012M07",94.8,96.8,96.3,96.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2012M08",94.4,93.0,96.5,96.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2012M09",90.8,91.1,96.8,96.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2012M10",95.9,95.9,97.0,96.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2012M11",96.5,95.0,96.0,96.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2012M12",115.2,116.3,96.1,96.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2013M01",90.9,90.2,96.2,96.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2013M02",87.4,87.8,97.1,96.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2013M03",102.1,99.7,97.6,97.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2013M04",93.7,95.7,95.2,97.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2013M05",101.9,100.7,97.4,97.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2013M06",97.2,96.9,96.8,97.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2013M07",98.8,98.8,98.6,97.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2013M08",96.6,94.4,98.1,98.0
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2013M09",90.6,92.3,98.0,98.0
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2013M10",96.7,96.0,97.1,97.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2013M11",102.4,100.1,100.8,98.0
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2013M12",114.9,118.1,97.8,98.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2014M01",93.4,92.1,98.1,98.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2014M02",88.5,88.9,98.3,98.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2014M03",99.7,101.7,99.2,98.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2014M04",100.1,98.5,98.1,98.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2014M05",104.2,100.9,97.9,98.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2014M06",97.8,100.3,100.0,98.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2014M07",98.3,97.6,97.6,98.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2014M08",94.4,94.7,98.7,98.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2014M09",93.3,93.6,99.4,99.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2014M10",100.1,98.2,99.3,99.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2014M11",98.7,99.1,99.3,99.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2014M12",120.0,121.3,100.6,99.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2015M01",97.6,95.9,102.0,99.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2015M02",89.3,89.7,99.2,99.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2015M03",100.8,101.3,98.5,99.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2015M04",99.5,100.1,99.9,99.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2015M05",102.1,102.5,99.6,99.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2015M06",100.7,100.4,100.0,99.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2015M07",101.5,99.6,99.8,99.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2015M08",93.8,95.5,99.6,100.0
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2015M09",94.4,93.9,99.8,100.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2015M10",101.8,99.2,100.4,100.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2015M11",98.4,100.2,100.0,100.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2015M12",120.3,121.7,101.1,100.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2016M01",94.3,95.2,101.1,100.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2016M02",92.6,90.1,99.6,100.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2016M03",103.7,102.4,99.4,99.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2016M04",101.2,99.4,99.3,99.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2016M05",100.1,102.1,99.3,99.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2016M06",100.1,98.5,98.1,99.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2016M07",99.7,99.1,99.6,99.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2016M08",96.9,96.4,100.6,100.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2016M09",96.1,94.6,100.6,100.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2016M10",98.8,99.7,101.0,100.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2016M11",101.4,100.9,100.2,101.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2016M12",120.8,115.2,95.9,101.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2017M01",97.1,97.2,103.1,101.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2017M02",91.7,92.1,101.8,102.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2017M03",106.7,106.0,102.8,102.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2017M04",101.9,101.0,101.0,102.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2017M05",105.7,104.7,101.9,102.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2017M06",104.0,103.2,102.6,102.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2017M07",100.2,101.1,101.8,102.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2017M08",97.6,96.7,100.9,102.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2017M09",99.7,97.5,103.8,102.7
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2017M10",99.2,101.3,102.7,102.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2017M11",105.6,104.5,103.3,103.0
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2017M12",123.9,122.4,102.1,103.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2018M01",98.3,97.7,103.5,103.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2018M02",93.4,93.8,103.6,103.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2018M03",112.9,108.1,104.8,104.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2018M04",100.2,103.9,104.0,104.6
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2018M05",107.6,107.3,104.5,104.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2018M06",109.0,106.0,105.3,104.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2018M07",101.5,103.7,104.7,104.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2018M08",101.6,100.1,104.5,105.0
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2018M09",97.8,98.1,104.4,105.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2018M10",104.2,104.2,105.6,105.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2018M11",108.8,107.2,105.5,105.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2018M12",125.2,126.4,105.7,105.4
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2019M01",100.2,99.4,105.3,105.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2019M02",93.8,94.3,104.1,105.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2019M03",107.8,108.4,105.0,105.5
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2019M04",107.0,106.1,106.3,105.8
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2019M05",108.5,105.9,103.3,106.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2019M06",105.6,106.7,105.9,106.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2019M07",106.0,105.9,107.2,106.3
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2019M08",103.7,101.4,105.7,106.2
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2019M09",97.4,99.2,105.7,106.1
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2019M10",104.5,103.8,105.2,105.9
"Indizes","Nominal","4711, 472: Detailhandel mit Nahrungsmitteln, Getränken, Tabakwaren","2019M11",110.8,108.3,106.2,105.9
